Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
get	15.4914302825928	4.72836971282959	16.3114814499158	4.70174146574622	3.25772848484907	0.523214091252214
giraffe	20.9859561920166	14.8593015670776	18.6882544579701	15.5525037270592	5.14210115580954	0.250760875277461
girl	14.8644514083862	6.37574577331543	14.4382514072374	6.36615099578054	3.84868642117977	0.482796843985879
give	15.1390047073364	7.16828918457031	14.9421913381189	7.25718832639472	3.53682612242781	0.426465820814708
glass	15.6075639724731	6.61536502838135	16.1869072900077	5.75871844795326	3.99494693061687	0.807894715123043
glasses	15.1059970855713	7.42812204360962	14.8756667335968	7.42599543271291	4.53759230385221	0.402985697613936
gloves	16.6801433563232	8.56156730651855	16.030451386722	8.76239938778348	4.49474300815248	0.297380486750961
glue	18.794454574585	14.036563873291	17.4177908558092	14.3310988255944	4.91429701698981	0.2138318019289
go	14.9207592010498	5.57923746109009	16.7924126162726	5.46752719947465	3.21339794147418	0.605513305456539
good	14.804027557373	6.63173675537109	20.0658571525171	6.27121773737002	2.54979357697659	0.929027306393007
goose	17.2149085998535	12.5053634643555	16.4348631992284	12.4063427018896	4.89002165937873	0.406294383149718
grandma	16.3653469085693	12.7843894958496	15.8700225758138	13.0265966544032	4.41230431316363	0.338231836806298
grandpa	16.8837203979492	12.9800052642822	15.7737080627099	13.1481788953892	4.68098519460925	0.328105159655831
grapes	18.978063583374	12.8205032348633	17.5643002675595	13.1505632596714	4.75722664518749	0.235263295934735
grass	17.0202293395996	7.86656188964844	16.3384571537556	7.94805854160796	4.08428111130753	0.469669354443961
green	15.9949550628662	9.24226474761963	15.5944373755495	9.00243069441196	3.7797101556346	0.68353228873072
gum	17.6375904083252	12.3774890899658	16.4871208254404	12.4113079203233	4.66541564711843	0.346484445710244
hair	14.8282890319824	3.84540009498596	14.4607777204776	3.81534296822084	3.86883498681125	0.450790222979126
hamburger	18.8401947021484	13.156476020813	17.3282438984381	13.3156595793033	4.87968788678605	0.228520534110312
hammer	16.7359046936035	12.1213245391846	16.0253218803757	12.1917656521286	4.530194316588	0.418758199796699
hand	14.8291330337524	3.49873566627502	15.4848523309091	3.38100038532504	3.54732177659935	0.549000584063557
happy	15.4534950256348	7.09721708297729	15.3913155812959	7.11119833207718	3.89211959330829	0.471768387409784
hard	14.882622718811	6.9844822883606	16.993855876149	6.09299795598984	3.43228371635454	1.01889859247835
hat	15.0071449279785	8.45743560791016	14.7380547253437	8.41420690567592	4.50272776547506	0.400938117326134
hate	15.1601514816284	9.02678775787354	14.6327250969535	9.14056725180223	4.11520596849259	0.387561764850371
have	14.8476963043213	3.93014669418335	20.6503259429775	3.7591406069631	2.59702172027589	0.701249243560998
he	14.8953895568848	3.16424703598022	26.5037037579671	3.12855113469275	2.17169476624937	0.639476856630179
head	14.8998794555664	3.62404870986938	15.9205486704738	3.38548603769708	3.36576693280765	0.649426071545319
hear	14.8669767379761	5.53584051132202	14.3894839006373	5.59184561510124	3.83321645879183	0.458808160843978
heavy	14.852201461792	9.39865589141846	14.3931281207563	9.35468540847707	3.99702852586027	0.555979561136705
helicopter	17.2061080932617	10.8129787445068	16.1051885406572	10.7848939108789	4.52332885384274	0.45787065258276
hello	17.5609321594238	9.28553676605225	16.3478413539102	9.43321153974167	4.38963666643996	0.352011496856088
help	15.9847116470337	6.07042980194092	16.6429386441983	5.9909779298722	3.59745641275474	0.582474734084754
her	14.8577451705933	3.06195449829102	33.7232711713656	2.88753749398461	1.79525207063901	0.799184285251427
here	16.2396717071533	5.91533136367798	17.3037446441151	5.94279113512899	3.31881330303866	0.56371862067653
hi	18.334379196167	12.1360187530518	16.7409878220911	12.1165735519	4.13029379632147	0.504129136842807
hide	14.893159866333	8.43497371673584	14.5669809101665	8.57860793533042	4.07958872806085	0.375522294771634
high	14.803032875061	9.210373878479	61.8920035963144	7.54346619099507	-2.25008580699336	2.38860067645089
him	15.7290878295898	2.93055748939514	18.6527067095288	2.90417102696792	3.05160911172665	0.617566514374422
his	14.8658390045166	3.57169246673584	43.3292744534066	3.49524805309254	1.38888201532076	0.828692189598827
hit	14.8695516586304	8.8885440826416	15.5871896181185	8.45719537137673	3.75744732559215	0.814106886979935
hold	14.8099384307861	7.89257764816284	15.0644616775382	7.73176672348658	3.8907235360562	0.59893745807443
home	14.8707799911499	6.47778177261353	14.6540237373539	6.10510302707589	3.80653683242665	0.703345054454308
horse	14.8140525817871	8.31759548187256	15.0905475436991	7.96322397840959	4.29827961982383	0.622007433263455
hose	17.7843284606934	12.19176197052	16.3973098182445	12.3514765788256	4.90530226534486	0.307930675142701
hot	15.0378723144531	9.05841255187988	15.5188784760008	8.72409810291463	3.81266035611269	0.746612513129745
house	14.9883852005005	5.71634435653687	15.9305631879249	5.63420826169906	3.58547830076543	0.599455405685676
how	16.3178672790527	5.39388751983643	16.8461859155462	5.3448512616807	3.35618794887235	0.550564804287969
hug	14.9234781265259	5.86248588562012	14.9864047940503	5.98425374734841	4.36796696617699	0.334315611338581
hungry	14.9324369430542	9.73659515380859	14.6626429577	9.80646766858896	4.39918226202286	0.389087136361794
hurry	15.6158266067505	8.31186580657959	15.3159164149326	8.52757704699193	4.37185082023622	0.286943414499908
hurt	16.4723682403564	7.64841938018799	16.6250641528233	7.45874260292557	3.66480141591602	0.67670041526621
i	14.8534336090088	2.99739599227905	24.3454405896346	3.03337053515706	2.30095842720388	0.557458321694711
ice	14.8106641769409	10.2089958190918	14.661770835991	10.0917692881257	4.20595644792563	0.580194115278895
if	14.8705530166626	4.88113021850586	19.2701705758868	4.70068391448443	2.86516395462768	0.732672381250566
inside	16.8119010925293	7.28080463409424	18.1765198344574	6.7366785580254	3.34038494320938	0.892047832291576
into	15.3621416091919	4.18910884857178	19.3585905671977	3.99070791002326	2.92397869274788	0.741185084413404
is	14.8472557067871	3.50261998176575	18.3193636677705	3.23235673407575	3.00937553307775	0.679657896234918
it	14.9077005386353	4.08722877502441	30.9447950860252	4.09449615989139	1.88649160303899	0.724638667032089
jacket	15.3577575683594	6.67727661132812	15.220070711736	6.74348581704549	4.23860677201773	0.371878956789634
jar	16.2777576446533	12.2061529159546	15.7608414575216	12.223862087185	4.73978540966373	0.354044071686033
jeans	16.3853302001953	5.28214311599731	15.4549791291621	5.2606633447072	4.26986537758465	0.414679913225062
