Token	LmAoA	LmCutoff	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
brown	3.7416102787865	11.1982381035112	14.0780963897705	7.52380132675171	14.6606503023932	7.62242597151473	3.75890310240936	0.536597491683927
brush	4.06846971450615	11.6219944645188	16.1099185943604	8.37131404876709	16.5744161143241	8.35296782292727	3.81204653790369	0.617315372411443
bubbles	4.72858418014566	12.6527533222459	16.6047267913818	10.4328317642212	16.1358977854727	10.6989945650058	4.5169376196101	0.366056281155697
bucket	4.33076197041555	11.9869827915452	15.7198314666748	9.10129070281982	16.2472403793459	9.18669931120918	4.05842142759734	0.649034130020013
bug	4.82007252184939	13.087402312877	16.1289386749268	11.3021297454834	15.8727916786576	10.8967312082539	4.67515037813483	0.603390390349997
build	3.9673928963526	11.6092672039292	15.6830711364746	8.34585952758789	16.2975305549254	8.4687453944578	3.74350240625464	0.558785706791275
bump	4.70559123299697	12.2680797268174	16.8600578308105	9.66348457336426	15.8465439894341	9.87385179057885	4.55717007724918	0.369323607851998
bunny	5.12577415098231	13.1215886760972	17.9278030395508	11.3705024719238	16.5137874318421	11.4116814572631	4.85308278513076	0.398066804951272
bus	4.03140949953133	11.6308159519456	14.9745492935181	8.38895702362061	15.4577634554502	8.32495260118604	3.9357718761157	0.653397132884878
but	2.75022334982871	9.09608384859783	15.1391716003418	3.31949281692505	15.2801665452518	3.64282901926674	2.72639605260712	0.189457327083251
butter	4.3057262098271	11.718204467418	16.0583801269531	8.56373405456543	15.6731926938209	8.95859704649011	4.17828753053767	0.354105323494802
butterfly	4.77261047918481	12.8762845684312	16.3245143890381	10.8798942565918	15.8152329654082	11.1135050698699	4.57831501226734	0.380106942777489
buttocks	4.53406686336545	12.2197961498521	17.9673862457275	9.56691741943359	16.7858931063689	10.2309535134928	4.19629923137136	0.406407451751409
button	4.03186954863605	9.85394951594097	15.5522155761719	4.83522415161133	15.2078905744479	5.09978727476634	3.98524638578519	0.392409773332045
buy	3.60294260979434	11.4992289234422	14.3948698043823	8.12578296661377	14.9923578072327	8.40437486017206	3.53074549842653	0.596388854862634
by	2.98662248537938	9.5396032024644	14.925986289978	4.2065315246582	23.1687211111277	4.30340642339765	2.32036392848315	0.69647651562328
bye	4.53023476295366	12.1035713840745	17.812219619751	9.33446788787842	16.5612626030424	9.70789465074786	4.32495023085884	0.330589422277362
cake	4.33036087031746	11.2780296493791	15.8058919906616	7.68338441848755	15.3337612706397	7.8274836740164	4.25835866892528	0.445561972147526
call	3.44872698467001	10.5982858825944	14.9479150772095	6.32389688491821	19.1140429744689	6.14710836432016	2.88723815535773	0.865493977702545
camera	4.09282441726092	11.5075330425523	15.3696556091309	8.14239120483398	15.1847861270028	8.08894186691719	4.05373577277665	0.535919720534416
camping	4.81920937814141	13.4716872860216	17.8248844146729	12.0706996917725	16.3733059668704	12.4354490187011	4.53915607969892	0.271983112905208
