Token	CountPerThousand	MeanSeqLen	UnidirectionalMeanSeqLen
▁situation	0.08176365333865	44.316085684926094	24.647395462809264
▁ourselves	0.024030797236879967	42.53542036469259	23.83943843795385
▁blame	0.03785390226894894	37.8743042513232	19.866655284275225
▁var	0.010461042549516946	55.5546768812554	27.047819102928457
▁churn	0.0020461918146404703	41.114339861023375	22.779532533164875
▁jealousy	0.01114353735566361	39.41132119243707	20.92599466419209
▁lighting	0.014819702561499047	47.682773658962056	25.68739642389882
▁uncover	0.00322892429120145	48.905924739791836	25.781024819855883
▁mister	0.012128501450898	36.46914632846637	17.689012043056593
▁singh	0.0014826165580496648	65.78378378378379	32.36704446381866
▁clearly	0.07846492844227446	41.7491392517668	20.744477208704676
▁amber	0.02301222544285805	38.45155310902657	18.947143739819133
▁rested	0.03487186530345585	39.68099933278968	18.75854399881385
▁disappointed	0.023543485604460852	39.08603272208192	19.929724387833534
▁surprised	0.10776050095460019	36.99814075113654	17.695011215468952
▁scare	0.015075638113804047	36.31467032495927	19.558775615193348
l	0.08722231918402379	54.42822845964611	27.32217908058923
▁reapers	0.004661129301069827	45.95701608430394	23.617859123682752
scene	0.0011956585145561814	59.99243243243243	31.751351351351353
▁types	0.013280211436270494	55.85254039322562	28.265816624489002
▁snuggled	0.006684054247318934	38.01276348868691	17.607039257397023
▁teenagers	0.006223887294689744	47.22118380062305	24.97528556593977
▁depressed	0.006665957794125651	42.39751793678495	22.145239480318015
▁kid	0.07507701388373203	38.27715987741469	19.847164353844565
▁answers	0.03886471844017374	36.652343100409084	20.27970865068015
▁windows	0.058703601555209706	47.66603545084223	25.510227898271495
▁bodyguards	0.0036813356210335184	42.00421348314607	22.59936797752809
▁colton	0.007472542565026254	36.3444040823387	16.655422937208094
▁driver	0.045475094270920016	43.715528268099256	21.716238878940338
▁guarding	0.006073945253945401	44.84635028729517	24.713343264524365
▁privacy	0.014877869732477457	41.88549087749783	24.468201563857516
▁paparazzi	0.0027997798297607446	44.43674976915974	23.331024930747922
▁track	0.05848902932448935	53.674445844107055	27.95688302503923
▁less	0.14820607384158713	48.21939349538188	25.551523238877696
▁cookies	0.009340355055332936	40.108081926376975	22.50013838915029
▁changes	0.03019263954919274	52.284527784913095	26.398022090932443
▁breathless	0.012818751879841784	38.324694968236365	20.615912070182514
▁asthma	0.0013805008578875694	49.7940074906367	26.721910112359552
pl	0.009363621923724301	57.93760353395914	29.818332413031474
ification	0.008315320242313422	63.01492305300793	34.022073682574224
▁mandatory	0.0021935486477857725	55.39422510312316	28.499116087212727
car	0.025764178932036547	51.30037126229179	25.72682119205298
▁treat	0.02003535889256304	42.307483870967744	22.637032258064515
▁courtesy	0.006386755373429288	46.26533090467517	24.924509208662215
▁travellers	0.0015795618430136796	57.54255319148936	29.183306055646483
▁unfriendly	0.0017411373179537042	41.16035634743875	23.083147735708984
▁follow	0.08995359101240996	42.190987340316994	22.09065827477691
▁wheeled	0.006173475746508456	43.924832495812396	20.76675041876047
▁nicu	0.0008363146582895668	42.81916537867079	20.973724884080372
▁bonding	0.0027855611879660227	45.2538283062645	24.45707656612529
▁memories	0.04908921449437849	43.2034125918319	22.34665718724491
sta	0.01951314695755688	54.304782723900374	27.286830948595654
▁adrenaline	0.013077272639745823	40.24869032321835	19.437777997430068
▁benefactor	0.0011917807031576208	53.41648590021692	29.57809110629067
▁prime	0.019952632249393747	58.2856309924851	29.37082145633584
▁praetorian	0.0008427776772871678	51.7101226993865	25.042944785276074
▁creative	0.009600168419036496	54.99178672411472	29.58018042278174
▁minds	0.020015969835570236	45.84268647077817	25.38598643848886
ness	0.10815862292485241	48.966979384523455	26.870582611293695
▁fields	0.01917836257348115	53.83190671968727	29.36820111882456
▁forests	0.006673713416922773	58.546000387371684	31.77261282200271
▁market	0.026454429360980334	57.28505814521645	31.197840320531615
▁second	0.3204830156378393	49.26151506840475	24.40431804981931
▁traveled	0.01904651698593009	47.66481167288768	21.650424160162878
▁imagined	0.03693098315609152	44.110391655874835	21.489657344860174
▁traveling	0.01773323152561757	47.88198848312559	24.222756760696843
▁roiling	0.001641606825390649	43.87322834645669	24.12283464566929
▁shore	0.022363338335498913	51.36414080110976	28.833015432633953
▁echoed	0.0254539540201517	35.906611822059716	17.236491976437133
▁represented	0.011363280001582043	62.26697759071778	31.035263337504265
▁australia	0.025699548742060537	69.06925862589277	35.67357408711397
▁youth	0.01933476763322309	54.75304185051478	28.480879796764274
▁appearances	0.009910393330921344	62.87870092604669	32.202556410590844
▁1999	0.010740244970213308	75.72668191118065	35.16524250812372
▁fifa	0.001858764263710042	65.17524339360223	33.60431154381085
▁2000	0.015587509218414045	74.77203748237831	35.29911269591177
▁olympic	0.006450092959605779	65.67294589178357	34.06993987975952
▁games	0.06453841510624386	60.23877906627411	32.10042260009213
▁regular	0.03423848944169095	54.04379341588644	28.08743581999396
▁member	0.042014793899604455	59.279719419148414	29.450744523750924
▁australian	0.020390824937431093	71.76786053882726	35.2238351822504
▁team	0.1302711961232444	57.75411283760989	29.521948363795122
▁2014	0.017483758992310174	72.82559515008133	32.32803489575632
▁cups	0.01338879015543019	45.03176288858853	24.08756516702066
▁viv	0.004696029603656872	52.664189375172036	25.872281860721166
▁gracie	0.005925295817000579	35.34707678883071	16.42822862129145
▁chuckled	0.040400331754003725	26.386690129579268	12.390337545992642
▁shook	0.25756940350759233	28.32523185321985	12.933836518387666
▁jock	0.003791206943992735	42.242413910671665	20.865325605182406
▁garrett	0.01720197136401477	36.245190862639014	16.90825067628494
▁naked	0.047579453256538895	42.44206579912522	22.817761960390122
▁ned	0.011685138347662572	43.025774336283185	20.170685840707964
isse	0.0021676965717953686	62.00357781753131	31.53846153846154
▁included	0.05055890501443295	68.08894513473436	30.724037429053535
▁animal	0.04410234903582957	46.402854714382016	25.057797708021923
▁companion	0.016575058521247476	47.49364423301879	25.366450908523746
▁unearthly	0.0013856712730856502	46.11380597014925	25.16044776119403
▁howls	0.0024507768038902916	41.073839662447256	20.50052742616034
▁reenact	0.0009267969242559806	51.62900976290098	25.645746164574618
▁bella	0.013636970084938069	42.43222748815166	20.012417061611373
▁vir	0.0037744030945989727	60.08424657534247	30.30513698630137
▁none	0.08932021515064507	41.257579485101516	20.097437084846817
